"","MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1","MCL1-DH_BC2CTUACXX_CAGATC_L002_R1","MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1","MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1","MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1","MCL1-DL_BC2CTUACXX_ATCACG_L002_R1","MCL1-LA_BC2CTUACXX_GATCAG_L001_R1","MCL1-LB_BC2CTUACXX_TGACCA_L001_R1","MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1","MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1","MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1","MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1"
"69312",3.04472903399899,2.51756139244616,3.06211459413567,2.51756139244616,3.12035825748106,2.51756139244616,3.0470161811864,3.03152730421142,3.10705498254269,3.99291303335497,3.30644028790486,3.30234070334364
"26754",9.79459952467479,9.80108428778079,9.93754172780912,9.92009917232017,9.93823141601596,9.73491606893553,10.2353587587541,10.3109475710704,10.4448061130386,10.3856936718452,10.3440143290854,10.3841624483149
"211660",9.04812905616677,9.02013084086156,8.70863515811678,8.6948659192781,9.13221869375039,9.17415565661674,8.81026063561269,8.87329746417791,8.85525335053993,9.10901442753766,8.81997389357496,8.88663676179463
"211673",11.3860363748978,11.565796116729,11.4194632290118,11.4378022270728,11.5684681030321,11.4819977054119,11.5015442786234,11.3481910673291,11.5201772974652,11.7150000059637,11.9768718876002,11.9123111283976
"329093",6.36069195021094,6.81447872882222,6.40153373783762,6.07923687904193,6.37629691948171,6.24352505458328,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616
"109294",8.28221057234463,8.89110448043969,7.03239285416408,7.20689751302162,7.23066518855478,7.46545372269218,6.88289696622053,6.93177169367808,5.07665892652113,5.70521161382704,6.90691031771432,6.42193037316649
"320492",4.48253782855099,4.09368605446253,3.28323786021161,3.32847869757394,2.51756139244616,3.36950865001622,3.67668412973027,3.24067564193574,3.3456291783235,4.29056189006472,2.51756139244616,2.51756139244616
"240725",9.44051057416984,9.6795610539577,8.15276138783919,8.98925686643078,8.82853707298118,8.62093792553054,5.4414007166929,5.83667293218724,4.28255186040845,4.45458088015682,5.4015703206613,5.32759084138975
"240726",5.32231208185016,4.49626291933779,4.87389544866025,4.16888058360349,4.31844758458856,3.8377222314562,4.31811433398994,3.83801457634766,4.79278374496122,4.19948076833736,3.30644028790486,2.51756139244616
"383491",3.95653171607776,4.2432530130525,4.36402076681357,4.39486728704655,4.83600209174127,4.67735218021219,3.67668412973027,4.00135801527745,3.80204992167466,3.58250540796312,2.51756139244616,2.51756139244616
